"director";"title";"country";"description";"release_year";"duration";"listed_in";"cast"
"Lyric R. Cabral, David Felix Sutcliffe";"(T)ERROR";"United States";"This real-life look at FBI counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target.";2015;84;"Documentaries";NA
"Cho Il";"#Alive";"South Korea";"As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.";2020;99;"Horror Movies, International Movies, Thrillers";"Yoo Ah-in, Park Shin-hye"
"Sabina Fedeli, Anna Migotto";"#AnneFrank - Parallel Stories";"Italy";"Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren.";2019;95;"Documentaries, International Movies";"Helen Mirren, Gengher Gatti"
"Cristina Jacob";"#Selfie";"Romania";"Two days before their final exams, three teen girls make a seaside getaway to end their adolescence with a bang.";2014;125;"Comedies, Dramas, International Movies";"Flavia Hojda, Crina Semciuc, Olimpia Melinte, Levent Sali, Vlad Logigan, Alex Calin, Alina Chivulescu, Razvan Vasilescu"
"Cristina Jacob";"#Selfie 69";"Romania";"After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days.";2016;119;"Comedies, Dramas, International Movies";"Maia Morgenstern, Olimpia Melinte, Crina Semciuc, Flavia Hojda, Maria Dinulescu, Alex Calin, Vlad Logigan, Levent Sali, Silvia Busuioc, Mihaela Mihut"
"Karyn Kusama";"Æon Flux";"United States";"Aiming to hasten an uprising, the leader of an underground rebellion dispatches acrobatic assassin Aeon Flux to eliminate the government's top leader.";2005;93;"Action & Adventure, Sci-Fi & Fantasy";"Charlize Theron, Marton Csokas, Jonny Lee Miller, Sophie Okonedo, Frances McDormand, Pete Postlethwaite, Amelia Warner, Caroline Chikezie, Nikolai Kinski, Paterson Joseph, Yangzom Brauen"
"Melinda Janko";"100 Years: One Woman's Fight for Justice";"United States";"This documentary chronicles Elouise Cobell's long fight against the U.S. government for the gross mismanagement of mineral-rich Native American land.";2016;75;"Documentaries";NA
"Ava DuVernay";"13TH";"United States";"In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom.";2016;101;"Documentaries";NA
"Simranjit Singh Hundal";"25 Kille";"India";"Four brothers learn that they have inherited ancestral land, but must fight to claim it when a greedy feudal lord threatens to take it over.";2016;140;"Action & Adventure, Dramas, International Movies";"Guggu Gill, Yograj Singh, Sonia Mann, Jimmy Sharma, Sapna Bassi, Lakha Lakhwinder Singh, Sandeep Kaur Sandy, Sardar Sohi"
"Betty Thomas";"28 Days";"United States";"After her drunken antics result in property damage, an alcoholic journalist enters rehab – and soon meets a fellow resident who changes her outlook.";2000;104;"Comedies, Dramas";"Sandra Bullock, Viggo Mortensen, Dominic West, Diane Ladd, Elizabeth Perkins, Steve Buscemi, Alan Tudyk, Mike O'Malley, Azura Skye, Reni Santoni, Marianne Jean-Baptiste"
"Gaby Dellal";"3 Generations";"United States";"When teenage Ray begins transitioning from female to male, his single mom and grandmother must cope with the change while tracking down his father.";2015;92;"Dramas, LGBTQ Movies";"Elle Fanning, Naomi Watts, Susan Sarandon, Tate Donovan, Linda Emond, Jordan Carlos, Sam Trammell, Maria Dizzia, Tessa Albertson"
"Shazia Javed";"3 Seconds Divorce";"Canada";"A Muslim women's activist group in India protests against oral divorces, starting a movement to reclaim their religious and constitutional rights.";2018;53;"Documentaries, Faith & Spirituality";NA
"Barbara Bialowas, Tomasz Mandes";"365 Days";"Poland";"A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him.";2020;114;"Dramas, International Movies, Romantic Movies";"Anna-Maria Sieklucka, Michele Morrone, Bronislaw Wroclawski, Otar Saralidze, Magdalena Lamparska, Natasza Urbanska, Grazyna Szapolowska, Tomasz Stockinger, Gianni Parisi, Mateusz Lasowski"
"Hikari";"37 Seconds";"Japan";"Trapped by society and familial obligations, a young manga artist goes on an unconventional journey for sexual freedom and personal liberation.";2020;116;"Dramas, International Movies";"Mei Kayama, Misuzu Kanno, Shunsuke Daitoh, Makiko Watanabe, Yoshihiko Kumashino, Minori Hagiwara, Shohei Uno, Yuka Itaya, Kiyohiko Shibukawa, Eita Okuno, Haruka Imou, Toshinori Omi"
